,TIME_PERIOD,AUT,BEL,BGR,CHE,CZE,DEU,DNK,EA20,ESP,EST,EU27_2020,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,LTU,LUX,LVA,NLD,NOR,POL,PRT,SVK,SVN,SWE,TUR,USA
88,2003-06,0.3,0.4,-0.1,,0.0,0.1,-0.3,0.1,0.2,0.2,0.1,0.5,0.0,0.1,0.2,0.0,0.4,0.3,0.1,-0.1,0.0,-0.4,0.1,0.0,-0.8,0.0,0.2,0.0,0.0,-0.4,0.8,1.5
89,2003-07,0.1,0.2,8.5,,0.0,0.1,-0.7,0.3,0.1,0.3,0.4,0.2,0.6,0.3,0.1,0.0,1.9,0.2,0.7,0.1,-0.3,0.3,1.2,2.2,-1.1,1.0,-0.1,0.1,-1.6,-0.1,0.8,0.2
90,2003-08,0.1,0.6,0.4,,0.0,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.3,0.1,0.1,0.2,0.1,0.5,0.0,0.0,-0.1,0.7,0.1,0.0,2.7,0.2,-0.1,0.0,0.1,-0.2,0.8,0.1
91,2003-09,-0.1,-0.1,0.2,,0.2,0.0,0.0,0.1,0.2,0.4,0.3,-0.1,0.2,0.2,0.6,0.3,2.1,0.6,0.5,0.1,0.0,0.7,0.6,0.0,1.3,0.2,-0.1,0.0,0.8,0.3,1.4,0.3
92,2003-10,0.1,0.1,0.3,,-0.5,0.3,0.0,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.9,0.0,0.7,0.0,0.8,0.1,-0.2,-0.8,1.8,0.0,-0.3,0.6,0.0,0.1,1.1,0.1,0.7,-1.1
93,2003-11,0.1,0.2,-0.4,,0.0,0.1,0.1,0.0,0.3,0.0,0.1,0.1,-0.3,0.0,0.4,0.0,-0.5,-0.3,0.1,0.1,0.2,1.0,0.1,0.0,1.9,0.2,0.1,0.0,0.4,0.3,1.1,-0.4
94,2003-12,0.1,-0.2,-0.2,,0.0,-0.1,0.1,0.0,0.0,-0.3,0.0,-0.1,0.2,0.2,-0.7,0.0,0.3,0.5,0.1,0.0,0.3,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.2,0.1,1.0,0.3
95,2004-01,1.2,0.4,0.2,,2.4,0.6,0.8,0.7,0.7,2.0,0.8,0.2,0.3,0.2,1.0,0.4,2.2,-0.2,1.2,0.4,0.0,0.0,3.7,1.0,1.3,0.5,1.2,12.9,0.5,2.2,0.7,0.9
96,2004-02,0.1,-0.2,-0.1,,0.3,0.0,1.1,0.0,0.3,0.4,0.1,-0.1,0.1,0.1,-0.2,0.5,5.4,0.0,0.3,0.0,0.2,0.3,0.4,0.0,-0.9,0.2,0.2,1.8,0.9,-0.3,0.6,0.3
97,2004-03,0.3,0.8,0.0,,0.0,0.3,0.1,0.3,0.5,0.2,0.3,0.5,0.5,0.4,1.6,0.0,0.5,0.8,1.4,0.0,0.1,-0.4,0.1,0.0,-0.6,0.2,0.1,0.1,0.3,-0.1,0.4,-0.3
98,2004-04,0.2,0.4,0.3,,-0.5,0.1,-0.3,0.2,0.4,0.4,0.2,-0.7,0.2,1.4,0.8,0.4,0.5,0.9,0.1,0.3,-0.1,1.3,0.3,0.0,-0.1,0.2,0.5,0.2,1.2,0.2,0.3,0.2
99,2004-05,0.5,0.9,0.0,,-0.8,0.3,0.5,0.3,0.3,0.2,0.4,0.5,0.4,0.3,0.2,2.4,0.3,0.0,0.1,0.1,1.0,0.1,0.0,0.0,0.4,1.9,0.3,0.2,0.7,0.0,0.8,0.8
